path,extension,bytes,classification
reports/eda/tables/phase2_aa_pairs.csv,.csv,1205,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_al_distribution_summary.csv,.csv,48880,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_al_groups_by_n_notna.csv,.csv,384,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_cat_label_rates.csv,.csv,4145,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_cat_summary.csv,.csv,280,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_ek_spearman_correlation.csv,.csv,1535,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase2_ek_summary.csv,.csv,1364,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase3_missingness_as_feature.csv,.csv,36720,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase3_numeric_auc_ranked.csv,.csv,28559,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase4_al_pca.csv,.csv,974,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase4_al_triplet_correlations.csv,.csv,8540,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase4_cross_group_spearman.csv,.csv,4537,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase4_high_cross_group_correlations.csv,.csv,173,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase4_leakage_suspects.csv,.csv,79,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase5_panel_unique_vs_shared.csv,.csv,536,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase5_top10_cross_dataset_shift.csv,.csv,4119,ARCHIVE_PREVIOUS_RESULTS
reports/eda/tables/phase6_acmg_interpretation.csv,.csv,3298,ARCHIVE_PREVIOUS_RESULTS
reports/eda/TEKNOFEST2026_EDA.ipynb,.ipynb,28779,ARCHIVE_PREVIOUS_RESULTS
reports/eda/TEKNOFEST2026_EDA_EXECUTED.ipynb,.ipynb,417453,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/figures/al_pca_cumulative_variance.png,.png,58350,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/figures/ek_spearman_correlation.png,.png,50477,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/figures/missingness_top80.png,.png,130462,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/figures/top10_numeric_boxplots.png,.png,110355,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase1_constant_near_constant.csv,.csv,1721,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase1_missingness_profile.csv,.csv,13688,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase1_overlaps.csv,.csv,233,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase1_schema_class_balance.csv,.csv,298,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_aa_frequency.csv,.csv,619,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_aa_pairs.csv,.csv,1205,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_al_distribution_summary.csv,.csv,48880,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_al_groups_by_n_notna.csv,.csv,384,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_cat_label_rates.csv,.csv,4145,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_cat_summary.csv,.csv,280,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_ek_spearman_correlation.csv,.csv,1535,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase2_ek_summary.csv,.csv,1364,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase3_missingness_as_feature.csv,.csv,29754,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase3_numeric_auc_ranked.csv,.csv,28559,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase4_al_pca.csv,.csv,974,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase4_al_triplet_correlations.csv,.csv,8540,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase4_cross_group_spearman.csv,.csv,4537,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase4_high_cross_group_correlations.csv,.csv,173,ARCHIVE_PREVIOUS_RESULTS
reports/eda_notebook_outputs/tables/phase4_leakage_suspects.csv,.csv,79,ARCHIVE_PREVIOUS_RESULTS
