model,fold,threshold_name,threshold,auc_roc,auc_pr,f1_macro,f1_weighted,mcc,benign_precision,benign_recall,benign_f1,pathogenic_precision,pathogenic_recall,pathogenic_f1
extra_trees,2,default_0.5,0.5,0.8352109659455987,0.8955854287499012,0.7331249159607369,0.7762272323779562,0.47080656167082685,0.6747967479674797,0.5724137931034483,0.6194029850746269,0.8197674418604651,0.8757763975155279,0.8468468468468469
extra_trees,2,f1_macro_opt,0.6133583688760533,0.8352109659455987,0.8955854287499012,0.7689834281474153,0.7980446813457686,0.5421487373128276,0.6467065868263473,0.7448275862068966,0.6923076923076923,0.8766666666666667,0.8167701863354038,0.8456591639871383
extra_trees,2,youden_j,0.6736437399631645,0.8352109659455987,0.8955854287499012,0.7548920578332343,0.7801559704192278,0.5297824998847933,0.6,0.8068965517241379,0.6882352941176471,0.8970588235294118,0.7577639751552795,0.8215488215488216
acmg_rule,3,default_0.5,0.5,0.6853553921568626,0.7875348361721627,0.5359940872135994,0.5436138312949533,0.18353514134481272,0.38926174496644295,0.7581699346405228,0.5144124168514412,0.7885714285714286,0.43125,0.5575757575757576
acmg_rule,3,f1_macro_opt,0.0024726231566347743,0.6853553921568626,0.7875348361721627,0.6493660529451495,0.702758314602175,0.3096509524096143,0.5775862068965517,0.43790849673202614,0.49814126394052044,0.7591036414565826,0.846875,0.8005908419497785
acmg_rule,3,youden_j,0.04742587317756678,0.6853553921568626,0.7875348361721627,0.6230167556346382,0.6480609026205112,0.28280077285434074,0.4588744588744589,0.6928104575163399,0.5520833333333334,0.8057851239669421,0.609375,0.693950177935943
lr_ek_only,3,default_0.5,0.5,0.7350490196078432,0.8366579520253041,0.6638132739827656,0.7079792079971247,0.3282290589820838,0.5555555555555556,0.5228758169934641,0.5387205387205387,0.7781155015197568,0.8,0.7889060092449923
lr_ek_only,3,f1_macro_opt,0.49986559138727515,0.7350490196078432,0.8366579520253041,0.6656548856548856,0.7098284493633331,0.3320583490787338,0.5594405594405595,0.5228758169934641,0.5405405405405406,0.7787878787878788,0.803125,0.7907692307692308
lr_ek_only,3,youden_j,0.5877587817787726,0.7350490196078432,0.8366579520253041,0.6426150887908608,0.6564869184103564,0.36763540935906014,0.47388059701492535,0.8300653594771242,0.6033254156769596,0.8731707317073171,0.559375,0.6819047619047619
lightgbm,3,default_0.5,0.5,0.8371936274509804,0.9022081109437219,0.7502789434438766,0.787559239198895,0.5108409559033718,0.7333333333333333,0.5751633986928104,0.6446886446886447,0.8158640226628895,0.9,0.8558692421991084
