threshold,f1_macro,precision,recall,mcc,youden_j
0.47000000000000003,0.40640766902119074,0.6846578835529111,1.0,0.0,0.0
0.47500000000000003,0.42056581835236,0.6874466268146883,0.9993792675356921,0.08757453521415434,0.012856356484479026
0.48,0.4261922069129084,0.688622754491018,0.9993792675356921,0.10653146103335513,0.018247192063993944
0.485,0.4384662716597605,0.6911512027491409,0.9987585350713842,0.13485294654958357,0.029755839653594407
0.49,0.450651871671782,0.6938335489435101,0.9987585350713842,0.16308750468553015,0.04188521970750281
0.495,0.45952595610439945,0.6956709956709957,0.9975170701427685,0.17372168256492146,0.050077717043037984
0.5,0.4774123143881208,0.6997821350762528,0.9968963376784605,0.2047497799816007,0.06832490910703193
0.505,0.5020433692784485,0.7058047493403694,0.9962756052141527,0.2441742699022613,0.09465835454029836
0.51,0.5208898421168242,0.7106778910057598,0.9956548727498448,0.271524975990661,0.11560096439404965
0.515,0.5463396764802283,0.7176154190945764,0.9937926753569212,0.3033170358593708,0.14473607158333635
0.52,0.5564519467199995,0.7204688908926962,0.9919304779639975,0.3123939601372605,0.15635096313919972
0.525,0.5813519605813328,0.7281021897810219,0.9906890130353817,0.3449946874754292,0.1874545116876729
0.53,0.6053707033460506,0.7360406091370558,0.9900682805710739,0.3774525167415153,0.21917879270045404
0.535,0.6363940275915527,0.7471857410881801,0.9888268156424581,0.4179681759108911,0.2624117213028354
0.54,0.6556331523624506,0.7548786292241789,0.9844816883923029,0.43636548998825164,0.29041160752976913
0.545,0.6686127648678062,0.7604617604617605,0.9813780260707635,0.4493819095127873,0.3102189964211679
0.55,0.6865420179920383,0.7686676427525623,0.9776536312849162,0.46939248430790903,0.33883961511240956
0.555,0.6971985265806417,0.7740503206709423,0.9739292364990689,0.47972356929325927,0.3566785626446216
0.56,0.7129381044502083,0.7822822822822822,0.9702048417132216,0.49844143974892474,0.3839514724409845
0.5650000000000001,0.7214725378787878,0.7876330461226558,0.9646182495344506,0.5049826242498635,0.3999282225802727
0.5700000000000001,0.7280508177398801,0.7916241062308478,0.9621353196772191,0.5125386964182327,0.41227009056670694
0.5750000000000001,0.7372819038217959,0.7975206611570248,0.9584109248913718,0.5233685088984795,0.430109038098919
0.58,0.740566775361666,0.8009404388714734,0.9515828677839852,0.5225471432251733,0.4381057788351981
0.585,0.7492952840090278,0.8070824524312896,0.9478584729981379,0.5337659809202171,0.4559447263674101
